Source.Name,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,SE5,34,359
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,SE5,28,302
transport_node_train_202312.csv,2023-12,WEEKDAY,23,TRAIN,EW6,1415,6922
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,23,TRAIN,EW6,966,3789
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,6188,17597
transport_node_train_202312.csv,2023-12,WEEKDAY,12,TRAIN,CC4/DT15,16119,30285
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,44098,37354
transport_node_train_202312.csv,2023-12,WEEKDAY,15,TRAIN,NE4/DT19,62350,51542
transport_node_train_202312.csv,2023-12,WEEKDAY,8,TRAIN,SW1,3689,6564
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,8,TRAIN,SW1,996,844
transport_node_train_202312.csv,2023-12,WEEKDAY,9,TRAIN,NS10,55628,23254
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,9,TRAIN,NS10,26898,10665
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,7,TRAIN,DT33,7093,3056
transport_node_train_202312.csv,2023-12,WEEKDAY,7,TRAIN,DT33,51579,12044
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,DT24,46,415
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,DT24,60,593
transport_node_train_202312.csv,2023-12,WEEKDAY,0,TRAIN,NS18,256,1651
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS18,217,1499
transport_node_train_202312.csv,2023-12,WEEKDAY,22,TRAIN,NS24/NE6/CC1,40266,10378
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,22491,7190
transport_node_train_202312.csv,2023-12,WEEKDAY,21,TRAIN,EW3,9374,21347
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,21,TRAIN,EW3,5323,10760
transport_node_train_202312.csv,2023-12,WEEKDAY,21,TRAIN,CG1/DT35,18645,2756
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,11892,2205
transport_node_train_202312.csv,2023-12,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,35585,34951
transport_node_train_202312.csv,2023-12,WEEKDAY,13,TRAIN,NS21/DT11,49069,58397
