"","station_code","stations","line","line_code","line_number","join_station","is_interchange","is_above_ground","operator","commencement","n_stations","length","cost","cost_per_km","n_lines"
"114","NE15","Buangkok","North East Line","NEL",15,"buangkok",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"115","NE16","Sengkang","North East Line","NEL",16,"sengkang",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"116","NE17","Punggol","North East Line","NEL",17,"punggol",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"117","NE18","Punggol Coast","North East Line","NEL",18,"punggolcoast",0,0,"SBS Transit",2003-06-20,17,21.6,4.72,0.218518518518519,1
"118","NS1","Jurong East","North South Line","NSL",1,"jurongeast",1,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"119","NS2","Bukit Batok","North South Line","NSL",2,"bukitbatok",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"120","NS3","Bukit Gombak","North South Line","NSL",3,"bukitgombak",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"121","NS4","Choa Chu Kang","North South Line","NSL",4,"choachukang",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"122","NS5","Yew Tee","North South Line","NSL",5,"yewtee",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"123","NS7","Kranji","North South Line","NSL",7,"kranji",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"124","NS8","Marsiling","North South Line","NSL",8,"marsiling",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"125","NS9","Woodlands","North South Line","NSL",9,"woodlands",1,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,2
"126","NS10","Admiralty","North South Line","NSL",10,"admiralty",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"127","NS11","Sembawang","North South Line","NSL",11,"sembawang",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
"128","NS12","Canberra","North South Line","NSL",12,"canberra",0,1,"SMRT Trains",1987-11-07,27,45,13.68,0.304,1
